V1 | WARNING | AddCommand | 2025-02-26T15:46:38.518667792 | Non aggiunto configuratore: config1
V1 | WARNING | AddCommand | 2025-02-26T15:46:38.526205742 | Non aggiunto configuratore: config2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:46:38.527269071 | Non aggiunto volontario: volont1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:46:38.527509163 | Non aggiunto volontario: volont2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:46:38.527722293 | Non aggiunto volontario: fruit1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:46:38.527856726 | Non aggiunto volontario: fruit2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:46:38.527973776 | Non aggiunto volontario: fruit3
V1 | WARNING | AddCommand | 2025-02-26T15:54:54.828223059 | Non aggiunto configuratore: config1
V1 | WARNING | AddCommand | 2025-02-26T15:54:54.835720381 | Non aggiunto configuratore: config2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:54:54.836305196 | Non aggiunto volontario: volont1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:54:54.836458978 | Non aggiunto volontario: volont2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:54:54.836597201 | Non aggiunto volontario: fruit1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:54:54.836732749 | Non aggiunto volontario: fruit2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:54:54.836871055 | Non aggiunto volontario: fruit3
V1 | WARNING | AddCommand | 2025-02-26T15:55:34.062156354 | Non aggiunto configuratore: config1
V1 | WARNING | AddCommand | 2025-02-26T15:55:34.068985904 | Non aggiunto configuratore: config2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:34.069618449 | Non aggiunto volontario: volont1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:34.069776723 | Non aggiunto volontario: volont2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:34.069933151 | Non aggiunto volontario: fruit1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:34.070076118 | Non aggiunto volontario: fruit2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:34.070215297 | Non aggiunto volontario: fruit3
V1 | WARNING | AddCommand | 2025-02-26T15:55:45.191229055 | Non aggiunto configuratore: config1
V1 | WARNING | AddCommand | 2025-02-26T15:55:45.199087754 | Non aggiunto configuratore: config2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:45.199748612 | Non aggiunto volontario: volont1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:45.199928256 | Non aggiunto volontario: volont2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:45.200114305 | Non aggiunto volontario: fruit1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:45.200283790 | Non aggiunto volontario: fruit2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:45.200455725 | Non aggiunto volontario: fruit3
V1 | WARNING | AddCommand | 2025-02-26T15:55:58.394258396 | Non aggiunto configuratore: config1
V1 | WARNING | AddCommand | 2025-02-26T15:55:58.401649316 | Non aggiunto configuratore: config2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:58.402365249 | Non aggiunto volontario: volont1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:58.402534021 | Non aggiunto volontario: volont2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:58.402683087 | Non aggiunto volontario: fruit1
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:58.402822996 | Non aggiunto volontario: fruit2
V1 | WARNING | class ingsoft.commands.running.AddCommand | 2025-02-26T15:55:58.402971319 | Non aggiunto volontario: fruit3
V1 | WARNING | AddCommand | 2025-02-26T15:56:45.134111439 | Non aggiunto configuratore: config1
